Name,Image Link,Rating,Price(£),In-Stock,Category
A Light in the Attic,../../media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,Three,51.77,22,poetry
Tipping the Velvet,../../media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,One,53.74,20,historical-fiction
Soumission,../../media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,One,50.10,20,fiction
Sharp Objects,../../media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,Four,47.82,20,mystery
Sapiens: A Brief History of Humankind,../../media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,Five,54.23,20,history
The Requiem Red,../../media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,One,22.65,19,young-adult
The Dirty Little Secrets of Getting Your Dream Job,../../media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,Four,33.34,19,business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",../../media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,Three,17.93,19,default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,../../media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,Four,22.60,19,default
The Black Maria,../../media/cache/d1/7a/d17a3e313e52e1be5651719e4fba1d16.jpg,One,52.15,19,poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",../../media/cache/a0/7e/a07ed8f1c23f7b4baf7102722680bd30.jpg,Two,13.99,19,default
Shakespeare's Sonnets,../../media/cache/4d/7a/4d7a79a8be80a529b277ed5c4d8ba482.jpg,Four,20.66,19,poetry
Set Me Free,../../media/cache/b8/e9/b8e91bd2fc74c3954118999238abb4b8.jpg,Five,17.46,19,young-adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),../../media/cache/97/27/97275841c81e66d53bf9313cba06f23e.jpg,Five,52.29,19,sequential-art
Rip it Up and Start Again,../../media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg,Five,35.02,19,music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",../../media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg,Three,57.25,19,music
Olio,../../media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,One,23.88,19,poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,../../media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,One,37.59,19,science-fiction
Libertarianism for Beginners,../../media/cache/91/a4/91a46253e165d144ef5938f2d456b88f.jpg,Two,51.33,19,politics
It's Only the Himalayas,../../media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,Two,45.17,19,travel
In Her Wake,../../media/cache/27/92/2792ef951651ff1eae40a410cac41e0f.jpg,One,12.84,19,thriller
How Music Works,../../media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg,Two,37.32,19,music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",../../media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg,Three,30.52,19,food-and-drink
Chase Me (Paris Nights #2),../../media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg,Five,25.27,19,romance
Black Dust,../../media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg,Five,34.53,19,romance
Birdsong: A Story in Pictures,../../media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg,Three,54.64,19,childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,../../media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg,Three,22.50,19,default
Aladdin and His Wonderful Lamp,../../media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg,Three,53.13,19,default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,../../media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg,Five,40.30,18,nonfiction
Wall and Piece,../../media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg,Four,44.18,18,art
The Four Agreements: A Practical Guide to Personal Freedom,../../media/cache/2b/1b/2b1bfecae9d512cb6ee943ccf786216f.jpg,Five,17.66,18,spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,../../media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg,Three,31.05,18,nonfiction
The Elephant Tree,../../media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg,Five,23.82,18,thriller
The Bear and the Piano,../../media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg,One,36.89,18,childrens
Sophie's World,../../media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg,Five,15.94,18,philosophy
Penny Maybe,../../media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg,Three,33.29,18,default
Maude (1883-1993):She Grew Up with the country,../../media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg,Two,18.02,18,default
"In a Dark, Dark Wood",../../media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,One,19.63,18,mystery
Behind Closed Doors,../../media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg,Four,52.22,18,thriller
You can't bury them all: Poems,../../media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg,Two,33.63,17,poetry
Slow States of Collapse: Poems,../../media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg,Three,57.31,17,poetry
Reasons to Stay Alive,../../media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg,Two,26.41,17,nonfiction
Private Paris (Private #10),../../media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,Five,47.61,17,fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,../../media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg,Five,23.11,17,nonfiction
Without Borders (Wanderlove #1),../../media/cache/de/26/de269ee688d4dc51846567f3942600ce.jpg,Two,45.07,16,new-adult
When We Collided,../../media/cache/17/db/17db3de71e8217d4277a9328b04f56cf.jpg,One,31.77,16,contemporary
"We Love You, Charlie Freeman",../../media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,Five,50.27,16,fiction
Untitled Collection: Sabbath Poems 2014,../../media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg,Four,14.27,16,poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",../../media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg,Four,44.18,16,nonfiction
Unicorn Tracks,../../media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg,Three,18.78,16,fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",../../media/cache/27/a1/27a1ebe79d6e6759ec68ea9f427a4f71.jpg,One,25.52,16,history
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),../../media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg,One,16.28,16,sequential-art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,../../media/cache/f4/21/f4210912ca58ef35f8ad120fe3dfed38.jpg,Three,31.12,16,nonfiction
This One Summer,../../media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg,Four,19.49,16,sequential-art
Thirst,../../media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,Five,17.27,16,fiction
The Torch Is Passed: A Harding Family Story,../../media/cache/c7/26/c7260547c468dbe78af92cf3927c2a1c.jpg,One,19.09,16,add-a-comment
The Secret of Dreadwillow Carse,../../media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg,One,56.13,16,childrens
